"user_id","friend_user_id"
"us13682","us33836"
"us13682","us69704"
"us17806","us70585"
"us17806","us71315"
"us13682","us58311"
"us13682","us72417"
"us13682","us66670"
"us13682","us76402"
"us13682","us124"
"us13682","us60202"
"us33644","us43911"
"us36126","us24773"
"us36126","us32498"
"us41889","us34750"
"us45183","us50358"
"us36126","us38246"
"us36126","us47774"
"us36126","us38341"
"us41052","us53281"
"us25914","us29888"
"us29141","us58311"
"us33644","us58723"
"us33644","us58811"
"us36126","us53281"
"us36126","us43911"
"us36126","us61416"
"us36126","us61433"
"us36126","us40349"
"us45183","us53281"
"us41052","us48659"
"us41052","us40610"
"us41052","us61115"
"us41052","us59412"
"us41052","us60313"
"us41052","us32215"
"us43399","us35408"
"us4264","us45183"
"us45183","us4264"
"us45183","us32215"
"us45183","us61794"
"us45183","us20703"
"us45183","us60127"
"us4264","us58311"
"us33163","us58311"
"us33644","us63906"
"us36126","us62694"
"us36126","us63045"
"us36126","us48103"
"us36126","us48659"
"us36126","us29447"
"us41052","us58311"
"us45183","us63534"
"us4264","us58429"
"us38962","us39299"
"us45183","us34750"
"us45183","us54093"
"us51517","us29104"
"us51561","us51707"
"us53281","us49336"
"us53281","us39512"
"us52306","us39512"
"us53281","us53763"
"us53281","us54440"
"us53281","us17806"
"us54623","us43032"
"us45470","us53655"
"us53281","us54925"
"us53281","us54585"
"us53281","us52617"
"us53281","us44854"
"us53281","us41052"
"us55504","us55505"
"us56128","us56216"
"us56179","us56525"
"us55762","us55843"
"us53281","us110"
"us53281","us32498"
"us53281","us38246"
"us53281","us53476"
"us53281","us45183"
"us53281","us58855"
"us53281","us59412"
"us53281","us52026"
"us53281","us59170"
"us53281","us36126"
"us53281","us48909"
"us53281","us48759"
"us53281","us49829"
"us53281","us48659"
"us58521","us51903"
"us58521","us41718"
"us58521","us16131"
"us58521","us59130"
"us59303","us59238"
"us60971","us58311"
"us61115","us41052"
"us61441","us61443"
"us60971","us59412"
"us53281","us28732"
"us53281","us34492"
"us53281","us61433"
"us53281","us48293"
"us53281","us12126"
"us61835","us61970"
"us63100","us58311"
"us63353","us35923"
"us55762","us53147"
"us58521","us48659"
"us63588","us64276"
"us63588","us58066"
"us64218","us63443"
"us64276","us63588"
"us36126","us41942"
"us2","us132"
"us176","us160"
"us176","us220"
"us176","us265"
"us2","us3"
"us355","us113"
"us355","us115"
"us355","us110"
"us659","us393"
"us659","us662"
"us688","us124"
"us688","us640"
"us1167","us110"
"us1167","us136"
"us1167","us129"
"us176","us2062"
"us1167","us2062"
"us1167","us265"
"us1167","us666"
"us1167","us176"
"us1167","us160"
"us176","us1167"
"us688","us1479"
"us688","us2281"
"us1167","us231"
"us10180","us7246"
"us11519","us8046"
"us10542","us8079"
"us10542","us11274"
"us11519","us8079"
"us2870","us2742"
"us688","us2247"
"us4679","us4751"
"us4679","us2021"
"us4578","us4558"
"us5244","us5229"
"us7350","us5686"
"us8013","us7387"
"us8100","us8079"
"us7350","us9171"
"us8013","us7402"
"us688","us14058"
"us16876","us13253"
"us18231","us18208"
"us20873","us20743"
"us20873","us19644"
"us1167","us139"
"us20882","us7896"
"us20882","us21239"
"us20882","us21817"
"us20882","us20246"
"us21301","us21300"
"us21301","us21239"
"us21301","us18927"
"us23665","us14349"
"us24888","us16131"
"us8811","us11175"
"us1167","us213"
"us1167","us31690"
"us1167","us38246"
"us20022","us20525"
"us1167","us738"
"us2067","us13682"
"us25979","us26255"
"us25979","us26168"
"us25888","us26582"
"us27353","us17747"
"us27537","us25914"
"us21301","us28732"
