user_id,degs,deg_adj,ego,CC,CC_adj,ego_out,ego_adj
us411938,4,297.75,3,0.5,0.102116488882,1185,1079
us444070,1,199.0,0,0.0,0.0523323689153,199,199
us463371,5,36.2,5,0.5,0.369456332521,171,161
us419557,1,12.0,0,0.0,0.212121212121,12,12
us31847,1,28.0,0,0.0,0.0449735449735,28,28
us707430,1,2.0,0,0.0,0.0,2,2
us464531,1,5.0,0,0.0,0.1,5,5
us81730,1,1.0,0,0.0,0.0,1,1
us114074,1,372.0,0,0.0,0.0191867373852,372,372
us783860,2,3.0,0,0.0,0.0,6,5
us774991,9,61.4444444444,6,0.166666666667,0.130110034749,541,433
us680217,17,88.4705882353,27,0.198529411765,0.123222056174,1450,950
us230571,1,215.0,0,0.0,0.0271245381439,215,215
us731267,1,213.0,0,0.0,0.0296749047746,213,213
us345986,1,2.0,0,0.0,0.0,2,2
us769269,3,24.6666666667,0,0.0,0.100191674929,74,71
us729577,1,20.0,0,0.0,0.147368421053,20,20
us479671,29,105.413793103,43,0.105911330049,0.0672057044842,2971,1719
us10542,2,7.5,0,0.0,0.032967032967,15,14
us449507,1,22.0,0,0.0,0.0822510822511,22,22
us187496,2,36.0,1,1.0,0.12471164649,70,65
us177285,1,4.0,0,0.0,0.0,4,4
us332268,1,129.0,0,0.0,0.093992248062,129,129
us356979,3,377.666666667,2,0.666666666667,0.0600906491564,1129,1054
us440058,83,65.8795180723,255,0.0749338818689,0.136436247751,4958,2401
us176389,1,1.0,0,0.0,0.0,1,1
us769145,3,10.3333333333,0,0.0,0.0726495726496,31,29
us795530,1,23.0,0,0.0,0.162055335968,23,23
us134338,1,4.0,0,0.0,0.166666666667,4,4
us653230,1,26.0,0,0.0,0.08,26,26
us376784,11,107.818181818,3,0.0545454545455,0.062531535117,1180,965
us70657,1,1.0,0,0.0,0.0,1,1
us476590,4,94.75,2,0.333333333333,0.230639916956,375,340
us434213,5,90.0,2,0.2,0.182184106084,446,412
us711996,1,1.0,0,0.0,0.0,1,1
us256555,1,199.0,0,0.0,0.0523323689153,199,199
us229856,1,1.0,0,0.0,0.0,1,1
us718735,7,29.1428571429,4,0.190476190476,0.259338027411,196,166
us95870,1,3.0,0,0.0,0.333333333333,3,3
us89197,4,40.5,3,0.5,0.137233633208,156,127
us60606,2,4.5,0,0.0,0.125,9,8
us768233,6,23.0,1,0.0666666666667,0.094427099637,136,119
us777049,1,122.0,0,0.0,0.0503996748408,122,122
us676704,3,77.0,1,0.333333333333,0.172808194984,229,189
us102863,21,58.8571428571,49,0.233333333333,0.249336982966,1138,787
us380260,1,157.0,0,0.0,0.0309488812674,157,157
us81843,1,3.0,0,0.0,0.0,3,3
us34180,3,116.333333333,0,0.0,0.141604962835,349,343
us782173,46,47.8913043478,97,0.0937198067633,0.204786304866,2009,1203
us420503,1,199.0,0,0.0,0.0523323689153,199,199
us415691,1,2.0,0,0.0,0.0,2,2
us282280,1,199.0,0,0.0,0.0523323689153,199,199
us609200,4,38.25,1,0.166666666667,0.0864819702956,151,140
us241488,2,106.5,0,0.0,0.0865605658709,213,206
us244240,1,6.0,0,0.0,0.0666666666667,6,6
us216233,1,1.0,0,0.0,0.0,1,1
us337818,1,998.0,0,0.0,0.0126089691921,998,998
us730760,1,4.0,0,0.0,0.333333333333,4,4
us493158,16,144.0625,27,0.225,0.123172630024,2251,1398
us654095,1,183.0,0,0.0,0.073560319462,183,183
us412512,2,531.5,1,1.0,0.0596698692115,1061,1029
us583780,3,152.666666667,0,0.0,0.124714306129,458,443
us710108,1,3.0,0,0.0,0.0,3,3
us290367,1,9.0,0,0.0,0.111111111111,9,9
us640,6,8.66666666667,1,0.0666666666667,0.0692966075319,50,41
us327092,1,2.0,0,0.0,0.0,2,2
us256196,2,9.5,0,0.0,0.0424836601307,19,18
us605347,16,76.5,14,0.116666666667,0.0853038438501,1196,873
us596623,5,55.6,1,0.1,0.134412436396,276,254
us155904,1,234.0,0,0.0,0.0425883129746,234,234
us229365,1,38.0,0,0.0,0.0426742532006,38,38
us757468,9,16.7777777778,2,0.0555555555556,0.12798186493,147,129
us343176,1,182.0,0,0.0,0.0490559164592,182,182
us176858,2,556.0,1,1.0,0.0312229755136,1110,1054
us530743,1,34.0,0,0.0,0.0588235294118,34,34
us574291,1,2.0,0,0.0,0.0,2,2
us768497,1,48.0,0,0.0,0.128546099291,48,48
us456942,1,17.0,0,0.0,0.308823529412,17,17
us54581,2,65.0,0,0.0,0.0464443897638,130,128
us123806,8,41.125,6,0.214285714286,0.164156181679,317,243
us309242,1,2.0,0,0.0,0.0,2,2
us679417,2,27.0,0,0.0,0.0399129172714,54,53
us37725,1,1.0,0,0.0,0.0,1,1
us781071,1,2.0,0,0.0,0.0,2,2
us794325,2,147.5,1,1.0,0.0744217637262,293,271
us783429,1,4.0,0,0.0,0.0,4,4
us534723,9,43.7777777778,16,0.444444444444,0.350668049408,362,273
us165132,1,1.0,0,0.0,0.0,1,1
us594287,2,42.0,0,0.0,0.0906553041434,84,83
us251139,1,2.0,0,0.0,0.0,2,2
us280892,2,13.5,1,1.0,0.15716374269,25,23
us450294,11,66.0,5,0.0909090909091,0.136864147541,716,593
us752260,1,5.0,0,0.0,0.2,5,5
us353083,101,70.4554455446,418,0.0827722772277,0.169807310193,6280,2950
